order_id,pizza_name_id,quantity,pizza_size_id,order_date_id,order_time,cust_id,restaurant_id,per_pizza_price
1,hawaiian_m,1,size2,1,11:38:36,248,res10,13.25
2,classic_dlx_m,1,size2,2,11:57:40,149,res12,16
2,five_cheese_l,1,size1,2,11:57:40,149,res12,18.5
2,ital_supr_l,1,size1,2,11:57:40,149,res12,20.75
2,mexicana_m,1,size2,2,11:57:40,149,res12,16
2,thai_ckn_l,1,size1,2,11:57:40,149,res12,20.75
3,ital_supr_m,1,size2,3,12:12:28,327,res8,16.5
3,prsc_argla_l,1,size1,3,12:12:28,327,res8,20.75
4,ital_supr_m,1,size2,4,12:16:31,319,res9,16.5
5,ital_supr_m,1,size2,5,12:21:30,489,res14,16.5
6,bbq_ckn_s,1,size3,6,12:29:36,20,res6,12.75
6,the_greek_s,1,size3,6,12:29:36,20,res6,12
7,spinach_supr_s,1,size3,7,12:50:37,188,res10,12.5
8,spinach_supr_s,1,size3,8,12:51:37,398,res16,12.5
9,classic_dlx_s,1,size3,9,12:52:01,76,res2,12
9,green_garden_s,1,size3,9,12:52:01,76,res2,12
9,ital_cpcllo_l,1,size1,9,12:52:01,76,res2,20.5
9,ital_supr_l,1,size1,9,12:52:01,76,res2,20.75
9,ital_supr_s,1,size3,9,12:52:01,76,res2,12.5
9,mexicana_s,1,size3,9,12:52:01,76,res2,12
9,spicy_ital_l,1,size1,9,12:52:01,76,res2,20.75
9,spin_pesto_l,1,size1,9,12:52:01,76,res2,20.75
9,veggie_veg_s,1,size3,9,12:52:01,76,res2,12
10,mexicana_l,1,size1,10,13:00:15,290,res9,20.25
10,southw_ckn_l,1,size1,10,13:00:15,290,res9,20.75
11,bbq_ckn_l,1,size1,11,13:02:59,19,res5,20.75
11,cali_ckn_l,1,size1,11,13:02:59,19,res5,20.75
11,cali_ckn_m,1,size2,11,13:02:59,19,res5,16.75
11,pepperoni_l,1,size1,11,13:02:59,19,res5,15.25
12,cali_ckn_l,1,size1,12,13:04:41,214,res8,20.75
12,cali_ckn_s,1,size3,12,13:04:41,214,res8,12.75
12,ckn_pesto_l,1,size1,12,13:04:41,214,res8,20.75
12,ital_supr_m,1,size2,12,13:04:41,214,res8,16.5
13,mexicana_l,1,size1,13,13:11:55,214,res8,20.25
14,the_greek_s,1,size3,14,13:14:19,475,res13,12
15,big_meat_s,1,size3,15,13:33:00,346,res11,12
15,five_cheese_l,1,size1,15,13:33:00,346,res11,18.5
15,soppressata_l,1,size1,15,13:33:00,346,res11,20.75
15,the_greek_s,1,size3,15,13:33:00,346,res11,12
16,four_cheese_l,1,size1,16,13:34:07,485,res17,17.95
16,napolitana_s,1,size3,16,13:34:07,485,res17,12
16,thai_ckn_l,1,size1,16,13:34:07,485,res17,20.75
17,bbq_ckn_l,1,size1,17,13:53:00,293,res9,20.75
17,calabrese_m,1,size2,17,13:53:00,293,res9,16.25
17,five_cheese_l,1,size1,17,13:53:00,293,res9,18.5
17,four_cheese_m,1,size2,17,13:53:00,293,res9,14.75
17,ital_supr_m,1,size2,17,13:53:00,293,res9,16.5
17,ital_veggie_s,1,size3,17,13:53:00,293,res9,12.75
17,mediterraneo_m,2,size2,17,13:53:00,293,res9,32
17,mexicana_l,1,size1,17,13:53:00,293,res9,20.25
17,peppr_salami_s,1,size3,17,13:53:00,293,res9,12.5
17,spinach_fet_l,1,size1,17,13:53:00,293,res9,20.25
18,napolitana_l,1,size1,18,13:57:08,34,res1,20.5
19,ital_cpcllo_l,1,size1,19,13:59:09,411,res13,20.5
19,sicilian_l,1,size1,19,13:59:09,411,res13,20.25
20,big_meat_s,1,size3,20,14:03:08,141,res12,12
20,five_cheese_l,1,size1,20,14:03:08,141,res12,18.5
21,ital_cpcllo_l,1,size1,21,14:14:29,351,res12,20.5
22,five_cheese_l,1,size1,22,14:16:26,394,res16,18.5
22,ital_cpcllo_m,1,size2,22,14:16:26,394,res16,16
22,southw_ckn_l,1,size1,22,14:16:26,394,res16,20.75
23,southw_ckn_s,1,size3,23,14:19:03,147,res11,12.75
24,bbq_ckn_m,1,size2,24,14:23:01,47,res3,16.75
24,ital_cpcllo_m,1,size2,24,14:23:01,47,res3,16
24,pepperoni_m,1,size2,24,14:23:01,47,res3,12.5
24,prsc_argla_s,1,size3,24,14:23:01,47,res3,12.5
25,sicilian_m,1,size2,25,14:44:44,336,res9,16.25
25,thai_ckn_l,1,size1,25,14:44:44,336,res9,20.75
